name,capacity,address,start_up_date,region,district,operator_name,ICO,operator_address,operator license,operator_region,operator_district,cadastre_area,cadastre_code,cadastre_municipal,cadastre_demarcation
,,,,,,,,,,,,Blatnička,605344,Blatnička,p.č. 226
,,,,,,,,,,,,Chlumec nad Cidlinou,651800,Chlumec nad Cidlinou,St. 114
,,,,,,,,,,,,Počaply nad Loučnou,747661,Sezemice,St. 143
,,,,,,,,,,,,Sendražice u Smiřic,747408,Sendražice,St. 160
,,,,,,,,,,,,Stará Ves nad Ondřejnicí,753947,Stará Ves nad Ondřejnicí,par. č. 1141
,,,,,,,,,,,,Králíky,672556,Králíky,St. 1613
,,,,,,,,,,,,Prostřední Staré Buky,754161,Staré Buky,St. 285
,,,,,,,,,,,,Slavkov u Brna,750301,Slavkov u Brna,1227/6
,,,,,,,,,,,,Běšiny,603317,Běšiny,St. 147
,,,,,,,,,,,,Drnholec,632520,Drnholec,"p.č. 1343/1-3,1344/1-4,"
,,,,,,,,,,,,Židněves,796786,Židněves,p.č. 23/1
,,,,,,,,,,,,Lány,679046,Lány,St. 821
,,,,,,,,,,,,Stráž u Tachova,756369,Stráž,st.p.č. 138/1
,,,,,,,,,,,,Leškovice,680443,Leškovice,St. 41
,,,,,,,,,,,,Staré Pavlovice,682179,Liberec,712/11
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Těchlovice u Hradce Králové,765431,Těchlovice,205/2
,,,,,,,,,,,,Kosmonosy,669857,Kosmonosy,1252/21
,,,,,,,,,,,,Rabyně,737267,Rabyně,St. 529
,,,,,,,,,,,,Dolní Počernice,629952,Praha,845/2
,,,,,,,,,,,,Koberovy,667285,Koberovy,St. 220
,,,,,,,,,,,,Kacanovy,661571,Kacanovy,St. 126
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Plzeň,721981,Plzeň,p.č. 2993
,,,,,,,,,,,,Domažlice,630853,Domažlice,St. 1143
,,,,,,,,,,,,Semily,747246,Semily,891/3
,,,,,,,,,,,,Jarohněvice,657310,Jarohněvice,par. č. st. 116
,,,,,,,,,,,,Osek u Rokycan,712949,Osek u Rokycan,St. 203
,,,,,,,,,,,,Račov,792489,Zdíkov,St. 1
,,,,,,,,,,,,Rokycany,740691,Rokycany,p.č. 1412
,,,,,,,,,,,,Nepolisy,703397,Nepolisy,St. 405
,,,,,,,,,,,,Horní Suchá u Liberce,682489,Liberec,197/2
,,,,,,,,,,,,Rozseč u Třešti,742295,Rozseč,St. 117
,,,,,,,,,,,,Hodkovičky,727857,Praha,121/4
,,,,,,,,,,,,Unhošť,774499,Unhošť,par. č. st. 2071
,,,,,,,,,,,,Písnice,720984,Praha,p. č. 980/30
,,,,,,,,,,,,Kobeřice ve Slezsku,667340,Kobeřice, 134
,,,,,,,,,,,,Petrovice u Sedlčan,719889,Petrovice,"parc. č. 505/3, 505/20"
,,,,,,,,,,,,Kostelec u Holešova,670294,Kostelec u Holešova,St. 409
,,,,,,,,,,,,Sýkořice,761737,Sýkořice,st. 210
,,,,,,,,,,,,Vranovice nad Svratkou,785512,Vranovice,"p.č. 1818/23-27,"
,,,,,,,,,,,,Chlum u Třeboně,651630,Chlum u Třeboně,"parc. č. 1615/1, 1615/39"
,,,,,,,,,,,,Vracovice u Horního Břečkova,642622,Vracovice,par. č. 69/2
,,,,,,,,,,,,Slatina u Bílovce,749729,Slatina,St. 390
,,,,,,,,,,,,Koloveč,668575,Koloveč,504/8
