name,capacity,address,start_up_date,region,district,operator_name,ICO,operator_address,operator license,operator_region,operator_district,cadastre_area,cadastre_code,cadastre_municipal,cadastre_demarcation
,,,,,,,,,,,,Malé Březno,690449,Malé Březno,parc. č. 176/1
,,,,,,,,,,,,Krmelín,674508,Krmelín,762/3
,,,,,,,,,,,,Zábřeh na Moravě,789429,Zábřeh,2204/6
,,,,,,,,,,,,Xaverov,652717,Xaverov,St. 81
,,,,,,,,,,,,Volduchy,784770,Volduchy,par. č. st. 1357
,,,,,,,,,,,,Hrádek u Rokycan,647306,Hrádek,par. č. st. 122
,,,,,,,,,,,,Jaktař,711730,Opava,738
,,,,,,,,,,,,Šumperk,764264,Šumperk,St. 940
,,,,,,,,,,,,Napajedla,701572,Napajedla,St. 322
,,,,,,,,,,,,Kyjovice ve Slezsku,678562,Kyjovice,51
,,,,,,,,,,,,Meziměstí,693693,Meziměstí,St. 538
,,,,,,,,,,,,Našiměřice,701661,Našiměřice,St. 111/2
,,,,,,,,,,,,Zlín,635561,Zlín,st.p.č. 4739
,,,,,,,,,,,,Děčín,624926,Děčín,948
,,,,,,,,,,,,Řešetova Lhota,758531,Studnice,St. 115/1
,,,,,,,,,,,,Srubec,753131,Srubec,338
,,,,,,,,,,,,Litohlavy,685364,Litohlavy,st. 235
,,,,,,,,,,,,Čekanice u Tábora,619086,Tábor,p.č. 168
,,,,,,,,,,,,Třebíč,769738,Třebíč,st. 4729
,,,,,,,,,,,,Znojmo-město,793418,Znojmo,1486/1
,,,,,,,,,,,,Bedřichov u Jihlavy,659878,Jihlava,St. 1251
,,,,,,,,,,,,Milevsko,694673,Milevsko,St. 3041
,,,,,,,,,,,,Roztoky u Prahy,742503,Roztoky u Prahy,par.č. 868/2
,,,,,,,,,,,,Svojetice,761176,Svojetice,St. 1056
,,,,,,,,,,,,Lanškroun,678929,Lanškroun,"St. 1588, 3700"
,,,,,,,,,,,,Příluky u Zlína,635812,Zlín,St. 311
,,,,,,,,,,,,Cítov,617849,Cítov,St. 515
,,,,,,,,,,,,Kojetín,667897,Kojetín,"par. č. 582, 584, 591,"
,,,,,,,,,,,,Černá Pole,610771,Brno,p.č. 738
,,,,,,,,,,,,Lidéřovice na Moravě,784192,Lidéřovice na Moravě,par. č. 567
,,,,,,,,,,,,Most II,699594,Most,4496/622
,,,,,,,,,,,,Desná III,625591,Desná,p.č. 1494/1
,,,,,,,,,,,,Osvračín,716391,Osvračín,parc. č. 938/32
,,,,,,,,,,,,Plešnice,721735,Plešnice,st. 69
,,,,,,,,,,,,Jablonec nad Nisou,655970,Jablonec nad Nisou,p.č. 5400
,,,,,,,,,,,,Teplice,766003,Teplice,2655/72
,,,,,,,,,,,,Vítkovice,714071,Ostrava,25/3
,,,,,,,,,,,,Velký Karlov,634158,Velký Karlov,"p.č. 261/1,262,268,269,271"
,,,,,,,,,,,,Písty,721042,Budyně nad Ohří,St. 87
,,,,,,,,,,,,Hostivař,732052,,p.č. 806/2
,,,,,,,,,,,,České Žleby,755664,Stožec,St.320/76
,,,,,,,,,,,,Dobrá Voda u Českých Budějovic,622320,Dobrá Voda u Českých Budějovic,2831/29
,,,,,,,,,,,,Zdejcina,603074,Beroun,p.č. 35/4
,,,,,,,,,,,,Vilémov u Šluknova,781886,Vilémov,St. 517
,,,,,,,,,,,,Město Žďár,795232,Žďár nad Sázavou,p.č. 2907
,,,,,,,,,,,,Děbolín,624861,Jindřichův Hradec,St. 112
,,,,,,,,,,,,Strání,756113,Strání,St. 428
,,,,,,,,,,,,Řečkovice,611646,Brno,1168
,,,,,,,,,,,,Smržov u Smiřic,751260,Smržov,par. č. st. 22
,,,,,,,,,,,,Žamberk,794368,Žamberk,3887/11
,,,,,,,,,,,,Jeseník,658723,Jeseník,1948/2
,,,,,,,,,,,,Královo Pole,611484,Brno,1946
,,,,,,,,,,,,Lažánky u Veverské Bítýšky,679470,Lažánky,St. 307
,,,,,,,,,,,,Dýšina,634280,Dýšina,1593
,,,,,,,,,,,,Řepiště,745197,Řepiště,1286/2
,,,,,,,,,,,,Velké Hostěrádky,778800,Velké Hostěrádky,p.č. 249
,,,,,,,,,,,,Břeclav,613584,Břeclav,"St. 1326/1, St. 1326/2"
,,,,,,,,,,,,Kostelany nad Moravou,670031,Kostelany nad Moravou,St. 426
,,,,,,,,,,,,Dražeň,650218,Dražeň,č.p. 13
,,,,,,,,,,,,Senomaty,747521,Senomaty,St. 59
,,,,,,,,,,,,Nová Ulice,710717,Olomouc,par. č. st. 136
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Uherský Brod,772984,Uherský Brod,St. 5259
,,,,,,,,,,,,Čejkov,618985,Nový Rychnov,par.č.st. 19
,,,,,,,,,,,,Hroška,604721,Bílý Újezd,St. 171
,,,,,,,,,,,,Holešovice,730122,Praha,p.č. 727/1
,,,,,,,,,,,,Klatovy,665797,Klatovy,St. 1809
,,,,,,,,,,,,Brněnské Ivanovice,612227,Brno,76/14
,,,,,,,,,,,,Krásný Les,673927,Krásný Les,St.240
,,,,,,,,,,,,Černíkovice,620203,Černíkovice,St. 282
,,,,,,,,,,,,Hodkovice nad Mohelkou,640344,Hodkovice nad Mohelkou,p.č. 2662
,,,,,,,,,,,,Černá v Pošumaví,619868,Černá v Pošumaví,par. č. 132
,,,,,,,,,,,,Horní Bobrová,605867,Bobrová,St. 117
,,,,,,,,,,,,Tuklaty,771422,Tuklaty,St. 102/2
,,,,,,,,,,,,Dolní Sloupnice,630179,Sloupnice,St. 449
,,,,,,,,,,,,Rožnov pod Radhoštěm,742937,Rožnov pod Radhoštěm,St. 1712
,,,,,,,,,,,,Suchý Důl,759333,Suchý Důl,st. 88/3
,,,,,,,,,,,,Selibov,700797,Protivín,St. 24/3
,,,,,,,,,,,,Chrudim,654299,Chrudim,St. 1314
,,,,,,,,,,,,Přeštice,735256,Přeštice,St. 150/1
,,,,,,,,,,,,Kralovice u Rakovníka,672645,Kralovice,St. 1306
,,,,,,,,,,,,Hrotovice,648469,Hrotovice,p.č. 116
,,,,,,,,,,,,Haklovy Dvory,636797,České Budějovice,260/284
,,,,,,,,,,,,Dolní Olešnice,629910,Dolní Olešnice,par. č. st. 91
,,,,,,,,,,,,Kyšice u Plzně,678724,Kyšice,St. 517
,,,,,,,,,,,,Stachy,753386,Stachy,St. 540
,,,,,,,,,,,,Znojmo-město,793418,Znojmo,2696/1; 2696/2
,,,,,,,,,,,,Škvorec,762733,Škvorec,St. 623
,,,,,,,,,,,,Dubňany,633585,Dubňany,"3112/25,3112/8,9,11,12"
,,,,,,,,,,,,Olšany u Prostějova,711110,Olšany u Prostějova,St. 425
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Vnorovy,784206,Vnorovy,"parc. č. 3225, 3226, 3119/2"
,,,,,,,,,,,,Racková,737283,Racková,St. 63
,,,,,,,,,,,,Litoměřice,685429,Litoměřice,2603/1
,,,,,,,,,,,,Niva,704661,,"p.č. 958/1, 958/2, 273, 279"
,,,,,,,,,,,,Koštice,670987,Koštice,st.p.č. 275
,,,,,,,,,,,,Hostouň u Prahy,645923,,p.č. 381
,,,,,,,,,,,,Chýně,655465,Chýně,St. 676
,,,,,,,,,,,,Holešovice u Chroustovic,641111,Chroustovice,St. 62
,,,,,,,,,,,,Všetuly,641057,Holešov,758/6
,,,,,,,,,,,,Molenburk,787841,Vysočany,St. 240
,,,,,,,,,,,,Krajníčko,672319,Krajníčko,par.č.st. 11
,,,,,,,,,,,,Hrádek,647357,Hrádek,St. 613
,,,,,,,,,,,,Zářečí nad Svitavou,614769,Březová nad Svitavou,St. 174
,,,,,,,,,,,,Rumburk,743518,Rumburk,1769/42
,,,,,,,,,,,,Nechanice,702471,Nechanice,St. 341
,,,,,,,,,,,,Koterov,671053,Plzeň,54/6
,,,,,,,,,,,,Racková,737283,Racková,St. 1202
,,,,,,,,,,,,Vysoká u Havlíčkova Brodu,695785,Vysoká,St. 209
,,,,,,,,,,,,Oblanov,769274,Trutnov,st. 194
,,,,,,,,,,,,Staré Hutě na Moravě,754404,Staré Hutě,St. 11
,,,,,,,,,,,,Libošovice,683299,Libošovice,St. 199
,,,,,,,,,,,,Vlčkovice u Praskačky,732931,Praskačka,50
,,,,,,,,,,,,Svaté Pole,760056,Svaté Pole,St. 195
,,,,,,,,,,,,Liteň,685267,Liteň,506/2
,,,,,,,,,,,,Přezletice,735302,Přezletice,St. 613
,,,,,,,,,,,,Kosmonosy,669857,Kosmonosy,252
,,,,,,,,,,,,Jičín,659541,Jičín,St. 4176
,,,,,,,,,,,,Holýšov,641553,Holýšov,St. 1382
,,,,,,,,,,,,Hlučín,639711,Hlučín,par. č. 2088/3
,,,,,,,,,,,,Černožice nad Labem,620629,Černožice,St. 281
,,,,,,,,,,,,Markvartice v Podještědí,656232,Jablonné v Podještědí,St. 86
,,,,,,,,,,,,Honětice,641740,Honětice,"parc. č. 59,  60/2,6,14,  61"
,,,,,,,,,,,,Kunratice,728314,Praha,704/1
,,,,,,,,,,,,Kostelec nad Labem,670171,Kostelec nad Labem,St. 1771
,,,,,,,,,,,,Tedražice,647284,Hrádek,St.15
,,,,,,,,,,,,Vávrovice,777196,Opava,St. 59/2
,,,,,,,,,,,,Nový Jičín-Horní Předměstí,707431,Nový Jičín,St. 1520
,,,,,,,,,,,,Chotěvice,653250,Chotěvice,parc.č. 2757/8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Čestlice,623440,Čestlice,St. 216
,,,,,,,,,,,,Mysločovice,700703,Mysločovice,St. 284
,,,,,,,,,,,,Řepy,729701,Praha,81/1
,,,,,,,,,,,,Hlinsko v Čechách,639303,Hlinsko v Čechách,par.č. 1025
,,,,,,,,,,,,Svatá Maří,759970,Svatá Maří,St. 197
,,,,,,,,,,,,Plzeň,721981,Plzeň,par.č.st.1623/1
,,,,,,,,,,,,Provodín,733865,Provodín,"p.č. 282/2, 336/8,15,16"
,,,,,,,,,,,,Podklášteří,769916,Třebíč,St. 933
,,,,,,,,,,,,Dolce,644820,Dolce,p.č. 262/314
,,,,,,,,,,,,Radčice u Plzně,737411,Plzeň,310/2
,,,,,,,,,,,,Zarazice,780804,Veselí nad Moravou,parc.č. 638/1
,,,,,,,,,,,,Skřeněř,754927,Nový Bydžov,St. 21
,,,,,,,,,,,,Balkovy,628336,Dolany,par. č. st. 11
,,,,,,,,,,,,České Budějovice 3,622052,České Budějovice,4713/2
,,,,,,,,,,,,Suchdol,729981,,p.č.125
,,,,,,,,,,,,Sudslava,758906,,"p.č. 26, 105"
,,,,,,,,,,,,Jaroměř,657336,Jaroměř,641/2
,,,,,,,,,,,,Oblekovice,708615,Znojmo,"parc. č. 938/2, GP 5659,5660"
,,,,,,,,,,,,Filipov u Zábřeha,703133,Nemile,St. 133
,,,,,,,,,,,,Dolní Hanychov,682268,Liberec,p. č. 177/131
,,,,,,,,,,,,Kosmonosy,669857,Kosmonosy,330
,,,,,,,,,,,,Krnov-Horní Předměstí,674737,Krnov,5138/51
,,,,,,,,,,,,Blšany u Loun,651745,Blšany u Loun,p.č. 160/131
,,,,,,,,,,,,Sudice,758752,Sudice,354/2
,,,,,,,,,,,,Svitavy-předměstí,760960,Svitavy,St. 423
,,,,,,,,,,,,Hlučín,639711,Hlučín,3071/699
,,,,,,,,,,,,Jihlava,659673,Jihlava,2914/2
,,,,,,,,,,,,Statenice,755346,Statenice,St. 807
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bedřichov u Jihlavy,659878,Jihlava,"par. č. st. 1272, 70/14"
,,,,,,,,,,,,Louky nad Dřevnicí,636118,Zlín,par. č.st. 237
,,,,,,,,,,,,Bručná,722367,Plzeň,1170/4
,,,,,,,,,,,,Dolní Němčí,629839,Dolní Němčí,St. 224
,,,,,,,,,,,,Ostrov nad Ohří,715883,Ostrov,St. 1079
,,,,,,,,,,,,Klatovy,665797,Klatovy,St. 773/2
,,,,,,,,,,,,Holešov,640972,Holešov,p.č. 2468
,,,,,,,,,,,,Blovice,605735,Blovice,p.č. 1406
,,,,,,,,,,,,Jehnice,658201,Brno,p. č. 794/56
,,,,,,,,,,,,Senkov,791911,Zbrašín,"175,176,178,171/4,171/46"
,,,,,,,,,,,,Starý Plzenec,755150,Starý Plzenec,St. 1761
,,,,,,,,,,,,Soběslav,751707,Soběslav,1840/60
,,,,,,,,,,,,Zábřeh na Moravě,789429,Zábřeh,par. č. 748
,,,,,,,,,,,,Tišnov,767379,Tišnov,St. 2287/1
,,,,,,,,,,,,Roudnice nad Labem,741647,Roudnice nad Labem,Parc. č. 1465
,,,,,,,,,,,,Hromnice,648329,Hromnice,p.č. st. 293
,,,,,,,,,,,,Zminný,793388,Dašice,St. 134
,,,,,,,,,,,,Podolí nad Olšavou,724262,Podolí,St. 435
,,,,,,,,,,,,Byšice,617172,Byšice,St. 480
,,,,,,,,,,,,Ústaleč,774812,Nalžovské Hory,"p.č. 149/1,2"
,,,,,,,,,,,,Plumlov,721964,Plumlov,par. č. 117/21 a 117/22
,,,,,,,,,,,,Bručná,722367,Plzeň,1316/6
,,,,,,,,,,,,Bolešiny,607126,Bolešiny,St. 153
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Jezbořice,659371,Jezbořice,St. 189
,,,,,,,,,,,,Nový Hradec Králové,647187,Hradec Králové,St. 649/19
,,,,,,,,,,,,Horšovský Týn,644871,Horšovský Týn,p.č. 1823/1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Smědčice,616354,Smědčice,St. 701
,,,,,,,,,,,,Nový Bydžov,707163,Nový Bydžov,St. 2188
,,,,,,,,,,,,Valašské Klobouky,776319,Valašské Klobouky,"St. 1476, St. 1987"
,,,,,,,,,,,,Semice u Písku,747238,Písek,par. č. st. 135
,,,,,,"Martin Skalický, Dis.",71436421,"Lanškroun, Na Vrchách, 168, 563 01",111014416,Pardubický,Ústí nad Orlicí,,,,
,,,,,,,,,,,,Dyjákovice,634140,Dyjákovice,"par. č. 220/47, 220/48"
,,,,,,,,,,,,Dvůr Králové nad Labem,633968,Dvůr Králové nad Labem,St. 1336
,,,,,,,,,,,,Vendryně,780014,Vendryně,p.č. 2409/2
,,,,,,,,,,,,Teplice,766003,Teplice,2655/71
,,,,,,,,,,,,Lukavice,688908,Lukavice, 190/13
,,,,,,,,,,,,Přestavlky u Slap,749605,Slapy,St. 957
,,,,,,,,,,,,Teplice,766003,Teplice,p.č. 2643/3
,,,,,,,,,,,,Vršovka,786632,Vršovka,113
,,,,,,,,,,,,Křimice,676195,Plzeň,par.č. 654/303
,,,,,,,,,,,,Mladcová,636177,Zlín,st. 798
,,,,,,,,,,,,Litovice,645842,Hostivice,St. 1321
,,,,,,,,,,,,Bělá nad Svitavou,601683,Bělá nad Svitavou,St. 172/1
,,,,,,,,,,,,Horní Heřmanice,642932,Horní Heřmanice,par.č.st. 35/1
,,,,,,,,,,,,Krásno nad Bečvou,776432,Valašské Meziříčí,St. 2065
,,,,,,,,,,,,Dražovice,632350,Dražovice,St. 479
,,,,,,,,,,,,Prštné,636142,Zlín,St. 1109
,,,,,,,,,,,,Újezd nad Lesy,773778,Praha,2540
,,,,,,,,,,,,Cheb,650919,Cheb,St. 7442
,,,,,,,,,,,,Předmostí,734977,Přerov,St. 890
,,,,,,,,,,,,Hostašovice,645613,Hostašovice,St. 394
,,,,,,,,,,,,Kroměříž,674834,Kroměříž,St. 1609
,,,,,,,,,,,,Bezdědovice,603457,Bezdědovice,p.č. 256
,,,,,,,,,,,,Smědčice,616354,Smědčice,p.č. 713
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rokycany,740691,Rokycany,St. 4420
,,,,,,,,,,,,Dolní Počernice,629952,Praha,1542/10
,,,,,,,,,,,,Bystřice pod Hostýnem,617113,Bystřice pod Hostýnem,"p. č. 459/1 459/38, 459/39"
,,,,,,,,,,,,Horní Bříza,642631,Horní Bříza,st.p.č. 233
,,,,,,,,,,,,Černice,620106,Plzeň,1696/23
,,,,,,,,,,,,Bezděkov u Klatov,603481,Bezděkov,St. 208
,,,,,,,,,,,,Strakonice,755915,Strakonice,St. 944/1
,,,,,,,,,,,,Nivnice,704679,Nivnice,1973/6
,,,,,,,,,,,,Přeštice,735256,Přeštice,St. 1047
,,,,,,,,,,,,Bořanovice,608076,Bořanovice,St. 399
,,,,,,,,,,,,Těmice u Kamenice nad Lipou,765864,Těmice,St. 49
,,,,,,,,,,,,Čáslav,618349,Čáslav,St. 3868
,,,,,,,,,,,,Lobzy,722618,Plzeň,201/104
,,,,,,,,,,,,Pustá Polom,736830,Pustá Polom,772
,,,,,,,,,,,,Kobeřice u Brna,667331,Kobeřice U Brna,par.č. 1430/2
,,,,,,,,,,,,Vrchoviny,786527,Nové Město nad Metují,st. 139/1
,,,,,,,,,,,,Županovice,632392,Županovice,"p.č. 680/18,22"
,,,,,,,,,,,,Hlinsko pod Hostýnem,639419,Bystřice pod Hostýnem,St. 117/1; 117/2
,,,,,,,,,,,,Domažlice,630853,Domažlice,St. 1161/7
,,,,,,,,,,,,Úpice,774651,Úpice,St. 1149
,,,,,,,,,,,,Němětice,704521,Němětice,p.č. st. 34/1
,,,,,,,,,,,,Jaroslavice u Zlína,635863,Zlín,p.č. 1183/1
,,,,,,,,,,,,Podoliby,672513,Králíky,St. 2/1
,,,,,,,,,,,,Hradiště u Plzně,722341,Plzeň,854/58
,,,,,,,,,,,,Říčany u Brna,745545,Říčany,parc. č. 264/30
,,,,,,,,,,,,Vlčnov,783897,Vlčnov,784
,,,,,,,,,,,,Klatovy,665797,Klatovy,parc.č. 2496/5
,,,,,,,,,,,,Cvikov,618080,Cvikov,St. 1010
,,,,,,,,,,,,České Budějovice 6,622346,České Budějovice, 3113
,,,,,,,,,,,,Ořechov,712612,Ořechov,par.č. 1361
,,,,,,,,,,,,Šťáhlavy,763152,Šťáhlavy,St. 1294
,,,,,,,,,,,,Vintířov u Sokolova,782408,Vintířov,par.č. 40/6
,,,,,,,,,,,,Rychnov nad Kněžnou,744107,Rychnov nad Kněžnou,2203/20; 5313/8
,,,,,,,,,,,,Šlovice u Plzně,762831,Plzeň,par.č. 14
,,,,,,,,,,,,Chvalovice,655287,Chvalovice,par.č. 339/77
,,,,,,,,,,,,Střížkov,730866,Praha,p.č. 511/6
,,,,,,,,,,,,Šebkovice,762245,Šebkovice,St. 212
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Načeratice,701025,Znojmo,19
,,,,,,,,,,,,Nová Ves u Plzně,705551,Nová Ves,443
,,,,,,,,,,,,Slatina u Františkových Lázní,634689,Františkovy Lázně,st. 195; st. 239
,,,,,,,,,,,,Janovice u Frýdku-Místku,657107,Janovice,St. 1113
,,,,,,,,,,,,Olšany,636410,,p.č. 24/2
,,,,,,,,,,,,Bošovice,608599,Bošovice,1533/18
,,,,,,,,,,,,Kout na Šumavě,671231,Kout na Šumavě,St. 601
,,,,,,,,,,,,Kunčice u Nechanic,677051,Kunčice,St. 88
,,,,,,,,,,,,Hrochův Týnec,648299,Hrochův Týnec,St. 572; St. 573; St. 574
,,,,,,,,,,,,Vlkosovice,626864,Černovice,p.č. 11
,,,,,,,,,,,,Osek u Rokycan,712949,Osek,par. č. st. 593
,,,,,,,,,,,,Drahov,631990,Drahov,St. 26
,,,,,,,,,,,,Vítkov,782998,Vítkov,1588/3
,,,,,,,,,,,,Zlín,635561,Zlín,St. 8768
,,,,,,,,,,,,Vraný,785563,Vraný,619; 620; 622; 623; 625; 626
,,,,,,,,,,,,Stráž nad Nisou,756393,Stráž nad Nisou,388/3; 526/7; 526/8
,,,,,,,,,,,,Novotníky,726974,Prádlo,par. č. st. 37
,,,,,,,,,,,,Podklášteří,769916,Třebíč,St. 1925
,,,,,,,,,,,,Načeradec,700991,Načeradec,St. 198/1
,,,,,,,,,,,,Třebihošť,769975,Třebihošť,St. 106
,,,,,,,,,,,,Horní Bříza,642631,Horní Bříza,st.p.č. 1153
,,,,,,,,,,,,Sudice u Boskovic,758736,Sudice,112
,,,,,,,,,,,,Dyje,634174,Dyje,2135/2
,,,,,,,,,,,,Lhotice u Českých Budějovic,668486,Lišov,st. 153
,,,,,,,,,,,,Cheb,650919,Cheb,St. 7416
,,,,,,,,,,,,Starý Lískovec,612014,Brno,768
,,,,,,,,,,,,Běchovice,601527,Praha,525/1
,,,,,,,,,,,,Jaroslavice,657531,Jaroslavice,"par. č. 1909/3, 1909/5"
,,,,,,,,,,,,Vojtěchov u Hlinska,784656,Vojtěchov,st.p.č. 34
,,,,,,,,,,,,Štěpánovsko,600202,Týniště nad Orlicí,St. 33/3
,,,,,,,,,,,,Žernovice,701718,Žernovice,St. 126
,,,,,,,,,,,,Hostovice u Pardubic,645991,Pardubice,"p.č. 529/1,531/1,2;532,524/1"
,,,,,,,,,,,,Studenec u Horek,758272,Studenec,St. 591
,,,,,,,,,,,,Zbýšov u Oslavan,792110,Zbýšov,811/1; 814; 815; 817
,,,,,,,,,,,,Chomutov II,652636,Chomutov,"parc. č. 4115, 4116/1,3,6"
,,,,,,,,,,,,Oldřichov u Duchcova,658341,Jeníkov,St. 332/1
,,,,,,,,,,,,Hrdějovice,648001,Hrdějovice,p. č. 39/2
,,,,,,,,,,,,Hodonice,640395,Hodonice,482/1
,,,,,,,,,,,,Lubno,688061,Frýdlant nad Ostravicí,St. 115/1
,,,,,,,,,,,,Ejpovice,634344,Ejpovice,p.č. 34/1
,,,,,,,,,,,,Horní Heršpice,612065,Brno,parc. č. 948/1
,,,,,,,,,,,,Hranice,647683,Hranice,St. 5738
,,,,,,,,,,,,Běšiny,603317,Běšiny,st.p.č. 310
,,,,,,,,,,,,Koloveč,668575,Koloveč,St. 109/2
,,,,,,,,,,,,Štěchovice,763276,Štěchovice,St. 43
,,,,,,,,,,,,Velká Bystřice,778281,Velká Bystřice,1980/3;1980/4;1980/5;1980/21
,,,,,,,,,,,,Benešov u Boskovic,602361,Benešov,St. 241
,,,,,,,,,,,,Šeberov,762130,Praha,1401/105
,,,,,,,,,,,,Podmokly,625141,Děčín,parc.č. 9/3
,,,,,,,,,,,,Kladno,665061,Kladno,par.č. 4428/73
,,,,,,,,,,,,Řeporyje,745251,Praha,parc.č. 1376/150
,,,,,,,,,,,,Opatovice nad Labem,711551,Opatovice nad Labem,St. 70/1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Křenovice u Slavkova,675881,Křenovice,parc. č. 905/3
,,,,,,,,,,,,Modletice u Dobřejovic,627682,Modletice,St. 126
,,,,,,,,,,,,Kunovice u Uherského Hradiště,677345,Kunovice,parc.č. 497
,,,,,,,,,,,,Ždírec nad Doubravou,795640,Ždírec nad Doubravou,St. 1151
,,,,,,,,,,,,Dřenice,632830,Dřenice,par. č. st. 177
,,,,,,,,,,,,Třebčín,769363,Lutín,St. 330
,,,,,,,,,,,,Šubířov,764159,Šubířov,"par. č. st. 2562,2563"
,,,,,,,,,,,,Hovorčovice,646385,Hovorčovice,St. 230
,,,,,,,,,,,,Bystřice nad Pernštejnem,616958,Bystřice nad Pernštejnem,317/1
,,,,,,,,,,,,Spáleniště,630781,Dobruška,St. 66
,,,,,,,,,,,,Přeštice,735256,Přeštice,St. 1785
,,,,,,,,,,,,Kunžak,677531,Kunžak,St. 94
,,,,,,,,,,,,Slivenec,750590,Praha,586; 581/3
,,,,,,,,,,,,Kroměříž,674834,Kroměříž,St. 227
,,,,,,,,,,,,Milínov u Nezvěstic,704466,Milínov,St. 76
,,,,,,,,,,,,Zruč,793621,Zruč-Senec,p.č. 147
,,,,,,,,,,,,Petřvald u Nového Jičína,720500,Petřvald,par. č. st. 152
,,,,,,,,,,,,Tuchotice,781606,Vidice,St. 73/1
,,,,,,,,,,,,Malešín,744972,Řehenice,St. 54/2
,,,,,,,,,,,,Libáň,681679,Libáň,946/3
,,,,,,,,,,,,Modletice u Dobřejovic,627682,Říčany,"St. 142, 148, 171, 172, 173"
,,,,,,,,,,,,Slup,750786,Slup,parc. č. 468
,,,,,,,,,,,,Černěves,620092,Černěves,135
,,,,,,,,,,,,České Kopisty,622583,Terezín,St. 166/2
,,,,,,,,,,,,Čejkovice,619001,Čejkovice,p.č.1294
,,,,,,,,,,,,Šumperk,764264,Šumperk,st. 4931; 839/1
,,,,,,,,,,,,Velatice,777633,Velatice,par. č. 240/7
,,,,,,,,,,,,Mladotice nad Doubravou,697176,Ronov nad Doubravou,St. 119
,,,,,,,,,,,,Všestary,787434,Všestary,St. 280
,,,,,,,,,,,,Hořice v Podkrkonoší,645168,Hořice,St. 3570
,,,,,,,,,,,,Moravská Nová Ves,698792,Moravská Nová Ves,par.č. 1231/1
,,,,,,,,,,,,Hrabová,714534,Ostrava,670/6
,,,,,,,,,,,,Chrudim,654299,Chrudim,par. č. st. 6395
,,,,,,,,,,,,Košice u Soběslavi,670812,Košice,"parc. č. 1929, 1930, 1931"
,,,,,,,,,,,,Břehy,613771,Břehy,St. 2
,,,,,,,,,,,,Třebíč,769738,Třebíč,St. 3678
,,,,,,,,,,,,Rumburk,743518,Rumburk,"st. 654/13, st. 654/14"
,,,,,,,,,,,,Příbor,735329,Příbor,par. č. 2151/2
,,,,,,,,,,,,Jablonec nad Nisou,655970,Jablonec nad Nisou,St. 648
,,,,,,,,,,,,Zdiby,792411,Zdiby,"St. 676, 687"
,,,,,,,,,,,,Příchovice u Přeštic,735949,Příchovice,St. 1/14
,,,,,,,,,,,,Hazlov,638072,Hazlov,par.č.st. 612
,,,,,,,,,,,,Tehov u Říčan,765309,Tehov,St. 187
,,,,,,,,,,,,Krnčice,706779,Nové Syrovice,51/4
,,,,,,,,,,,,Svobodné Heřmanice,761133,Svobodné Heřmanice,St. 369
,,,,,,,,,,,,Boskovice,608327,Boskovice,"p.č. 711/1, 711/11"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Velká Skrovnice,778630,Velká Skrovnice,"par. č. 1/3,1/4,200,202"
,,,,,,,,,,,,Strakonice,755915,Strakonice,st. 390/1
,,,,,,,,,,,,Jaroměř,657336,Jaroměř,3285/4
,,,,,,,,,,,,Lično,683591,Lično,St. 24/1
,,,,,,,,,,,,Drnovice,632538,Drnovice,St. 104
,,,,,,,,,,,,Blatná,605247,Blatná,St. 1809
,,,,,,,,,,,,Příbram,735426,Příbram,p. č. 674/2
,,,,,,,,,,,,Miloňovice,695092,Miloňovice,St. 3/1
,,,,,,,,,,,,Šenov u Nového Jičína,707546,Šenov u Nového Jičína,"parc. č. 1591, 1592"
,,,,,,,,,,,,Poděbrady,723495,Poděbrady,St. 3288/1
,,,,,,,,,,,,Lásenice,679160,Lásenice,St. 84
,,,,,,,,,,,,Novosedlice,706876,Novosedlice,712/2
,,,,,,,,,,,,Bruntál-město,613169,Bruntál,4508
,,,,,,,,,,,,Třebotov,770396,Třebotov,St. 640
,,,,,,,,,,,,Trutnov,769029,Trutnov,St. 5255
,,,,,,,,,,,,Stodůlky,755541,Praha,1671/69
,,,,,,,,,,,,Trhové Sviny,768154,Trhové Sviny,St. 2368
,,,,,,,,,,,,Nahořany u Čkyně,701173,Čestice,St. 55
,,,,,,,,,,,,Suchohrdly u Znojma,759228,Suchohrdly,131
,,,,,,,,,,,,Lenora,679950,Lenora,par. č. 313/1
,,,,,,,,,,,,Rabštejnská Lhota,737151,Rabštejnská Lhota,St. 215
,,,,,,,,,,,,Hloubětín,731234,Praha,p.č. 1117/1
,,,,,,,,,,,,Střapole,616362,Bušovice,St. 35/1
,,,,,,,,,,,,Růžov na Moravě,756547,Stražisko,St. 57
,,,,,,,,,,,,Mistrovice u Nového Oldřichova,707821,Nový Oldřichov,par.č. 411
,,,,,,,,,,,,Plzeň,721981,Plzeň,8029
,,,,,,,,,,,,Chrudim,654299,,p.č. 5149
,,,,,,,,,,,,Hradištko pod Medníkem,647543,Hradištko,St. 909
